user_id,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
76561198031488141,,,,,,,,,,,,,,60.13,,,60.13,,,
76561198031490204,,,,,,20.5,,,,,,,,,,,,,,20.5
76561198031532032,68.22,21.25,,,,,,,,67.32,,0.9,,,,,,,,
76561198031553174,220.64999999999998,212.48,,,,,202.85,,,202.85,202.85,204.42,,,,,,,,
76561198031729727,99.35,99.35,,,99.35,,,,,99.35,,99.35,,,,,,,,
76561198031754045,102.19,,,,,,,,,,,102.19,,,,,,,,
76561198031776309,1460.37,,,,,,,,,,,,,,,,,,,
76561198031795967,45.97,45.97,,,,,,,,,,,,,,,,,,
76561198031799016,1317.88,,,,,,,,,,,13.63,,,,,,,,
76561198031799936,307.73,,,,1.7,,,,69.0,70.7,,,,,,,,,,
76561198031869152,15.38,,,,,,15.38,,,15.38,15.38,,,,,,,,,
76561198031873734,290.83,,,,,,,,,,,,,,,,,,,
76561198031877091,32.91,32.91,,,,,16.58,,,32.91,16.58,32.91,,,,,,,,
76561198031938463,45.42,,,,,,,,,,,0.33,,,,,,,,
76561198031945954,7.63,,,,,,,,,,,,,,,,,,,
76561198031966223,5.57,,,,,,,,,,,,,,,,,,,
76561198032012843,43.77,8.07,,,,,,,,21.97,,,,10.67,,,,,,
76561198032049753,,5.17,,,,,5.17,,,5.17,,,,,,,,,,
76561198032052459,174.93,,,,,,,,,,,174.93,,,,,,,,
76561198032090114,,,,,,,,,,,,,,,,,5.02,,,
76561198032157184,,35.23,,,,,,,,35.23,,,,35.23,,,,,,
76561198032269919,105.85,,,,,,,,,,,,,105.85,,,105.85,,,
76561198032269949,25.82,,,,,,,,,,,25.82,,25.82,,,,,,
76561198032293266,94.58,8.8,,,,,,,,,,94.58,,37.9,,,,,,
76561198032373589,87.7,,,,154.32,,,,,242.01999999999998,,242.01999999999998,,,,,154.32,,,
76561198032400276,,,,,,,,,,11.5,,,,,,,,,,
76561198032459795,,,,,,,,,,,,4580.28,,4580.28,,,4580.28,,,
76561198032491878,120.73,,,,,,,,,,,120.73,,,,,,,,
76561198032534620,64.25,64.25,,,,,,,,,,,,,,,,,,
76561198032536626,39.7,,,,,,,,39.7,,39.7,,,39.7,,,39.7,,,
76561198032570194,,,,,,,,,,4.47,,21.24,,,,,16.77,,,
76561198032576956,44.68,,,,,,,,33.6,47.36,,,,9.15,,,1.93,,,
76561198032586095,,4.15,,,,,,,,,,,,,,,,,,
76561198032643792,17.92,,,,,,,,17.92,,,,,,,,,,,
76561198032746726,41.349999999999994,35.08,,,,,,,,6.27,,41.349999999999994,,,,,,,,
76561198032750680,15.83,,,,,,15.83,,,22.78,,,,,,,,,,
76561198032761517,3.13,,,,,,,,,3.13,,3.13,,,,,,,,
76561198032873398,3.95,44.75,,,3.95,,,,,26.5,,,,,,,21.72,,,
76561198032892191,55.92,,,,,,55.92,,,55.92,55.92,,,,,,,,,
76561198032898039,3.58,,,,,,,,,3.58,,,,,,3.58,218.68,,,
76561198032916644,15.41,,,,,,,,,,,,,,,,,,,
76561198033050980,235.63,,,,,,,,,,,,,235.63,,,235.63,,,
76561198033081099,290.85,,,,,,,,290.85,290.85,290.85,290.85,,290.85,,,,,,
76561198033116510,5.28,5.28,,,,,,,,5.28,,,,,,,,,,
76561198033131355,29.98,3.13,,,,,,,5.75,7.8,,14.77,,,,,11.27,,,
76561198033133255,71.47,63.32,,,,,63.32,,,63.32,63.32,63.32,,,,,,,,
76561198033134963,126.39,,,,,,,,,37.67,,,,,,,,,,
76561198033173262,696.82,,,,,,,,,,,,,,,,,,,
76561198033248600,18.02,,,,,,,,,,,,,,,,18.02,,,
76561198033258188,8.37,,,,,,,,,8.37,,,,,,,,,,
76561198033301141,713.27,,,,,,,,,,,,,,,,,,,
76561198033429149,109.93,1.25,,,1.25,,,,113.05000000000001,1.25,111.80000000000001,1.87,,1.25,,,,,,
76561198033432863,,,,,,,129.76999999999998,,,129.76999999999998,,108.55,,129.76999999999998,,,21.22,,,
76561198033457836,930.9,65.15,,,,,,,,,,,,,,,,,,
76561198033461390,728.83,,,,,,,,,,,,,,,,,,,
76561198033472736,359.63,79.3,,,51.6,,282.88,,76.75,359.63,255.18,47.2,,27.7,,,,,,
76561198033544560,72.85,,,,,,,,,,,,,,,,,,,
76561198033698382,264.43,,,,,,,,264.43,,264.43,,,,,,,,,
76561198033883963,49.82,,,,,,,,,,,49.82,,,,,,,,
76561198033887983,5.15,,,,,,,,5.15,,,,,,,,,,,
76561198033923352,129.7,1.68,,,,,,,,173.32999999999998,,129.7,,43.63,,,129.7,,,
76561198033945314,89.83,8.75,,,,,,,,4.95,,4.95,,,,,,,,
76561198033950167,10.73,,,,,,,,,10.73,,,,,,,,,,
76561198033982370,44.52,44.52,,,,,,,,,,,,,,,,,,
76561198033992409,109.8,582.12,,,,,,,,131.75,,552.3499999999999,,,,,1365.88,,,
76561198034027094,967.13,44.650000000000006,,,,,,,937.75,8.45,,,,,,,,,,
76561198034062384,7.52,,,,,,,,,7.52,,,,,,,7.52,,,
76561198034070122,145.46,145.46,,,,,78.67,,,82.64,82.64,82.64,,,,,,,,
76561198034081735,0.4,0.4,,,0.4,,,,,0.4,,,,,,,,,,
76561198034089533,84.1,,,,,,84.1,,,84.1,84.1,,,,,,,,,
76561198034167696,818.37,,,,,,,,,,,,,,,,,,,
76561198034216168,2.82,2.82,,,,,2.82,,,2.82,,2.82,,,,,,,,
76561198034223204,22.869999999999997,,,,,,,,,,,13.42,,,,,,,,
76561198034247917,26.87,26.87,,,,,,,,26.87,,26.87,,,,,,,,
76561198034277356,523.6700000000001,17.53,,,8.32,,,,499.97,42.46,,8.03,,,,8.32,8.32,,,
76561198034284348,119.6,,,,,,,,,119.6,,,,,,,,,,
76561198034319577,226.84,153.42000000000002,,,,,,,,103.88,,88.95,,,,,483.92,,,
76561198034390540,1075.2,,,,,,,,,,,,,,,,,,,
76561198034392042,26.990000000000002,23.07,,,2.63,,,,,37.87,,25.22,,2.63,,,,,,
76561198034395325,10.93,10.93,,,,,,,,,,,,,,,,,,
76561198034433526,75.27,,,,,,,,,,,75.27,,,,,,,,
76561198034438267,7.68,,,,,,,,,,,,,,,,,,,
76561198034465295,,10.77,,,,,,,,,,,,,,,,,,
76561198034565104,1167.02,,,,,,,,,,,,,,,,,,,
76561198034567618,4.45,,,,,,,,,4.45,,,,,,,,,,
76561198034572029,337.93,,,,,,,,337.93,,337.93,,,,,,,,,
76561198034664008,0.47,0.47,,,,,,,,,,,,,,,,,,
76561198034708226,2.65,,,,,,,,,,,,,,,,,,,
76561198034776912,0.42,,,,,,,,,,,0.42,,,,,,,,
76561198034829571,3252.12,,,,,,,,,,,,,,,,,,,
76561198034842509,64.83,64.83,,,,,64.83,,,64.83,64.83,72.95,,,,,,,,
76561198034857562,,,,,,,,,,,,,,91.87,,,,,,
76561198034888931,126.39999999999999,50.75,,,,,,,56.82,50.75,,38.98,,11.77,,,,,,
76561198034898515,0.53,0.53,,,0.53,,,,0.53,0.53,,,,,,,,,,
76561198034923542,,,,,,,,,,198.78,,,,198.78,,,,,,
76561198034940671,131.92,,,,,,,,,,,,,,,,,,,
76561198034942053,21.9,21.9,,,,,,,,,,,,,,,,,,
76561198034977201,,5.6,,,,,5.6,,,5.6,,,,,,,,,,
76561198035096973,52.78,,,,,,52.78,,,52.78,52.78,,,,,,,,,
76561198035099677,,,,,,,,,,,,,,,,,83.42,,,
76561198035107243,1408.87,,,,,,,,,,,1408.87,,,,,,,,
76561198035108711,10.8,10.8,,,10.8,,,,,10.8,,10.8,,,,,,,,
76561198035136096,,,,,0.68,,,,,,,,,,,,,,,
76561198035136974,368.4,,,,,,368.4,,,368.4,368.4,,,,,,,,,
76561198035146378,43.87,,,,,,,,,,,,,,,,,,,
76561198035148971,,,,,,,,,,82.3,,,,82.3,,,,,,
76561198035152649,8.47,,,,,,,,,8.47,,,,,,,,,,
76561198035180166,8.88,,,,,,,,8.88,8.88,8.88,8.88,,,,,86.37,,,
76561198035183954,10.85,,,,,,,,10.85,10.85,,,,,,,,,,
76561198035227874,,,,,,,,,,39.72,,,,39.72,,,,,,
76561198035251057,572.0,,,,,,,,,,,,,,,,,,,
76561198035287574,1.25,,,,,,,,1.25,1.25,,,,,,,,,,
76561198035313379,470.92,3.1,,,3.1,,,,3.1,3.1,,,,,,,,,,
76561198035428985,95.5,,,,,,,,,,,95.5,,,,,,,,
76561198035474869,405.93,,,,,,,,,,,,,,,,,,,
76561198035509771,632.85,,,,,,,,,,,,,,,,,,,
76561198035531441,,,,,,,,,,131.05,,,,,,,,,,
76561198035538775,381.83000000000004,,,,,,,,,15.75,,,,,,,15.75,,,
76561198035554079,,0.57,,,0.57,,,,,0.57,,,,,,,,,,
76561198035565631,,,,,,,,,,,,,,,,,50.73,,,
76561198035579456,69.3,69.3,,,69.3,,,,,69.3,,69.3,,,,,,,,
76561198035588684,29.88,26.810000000000002,,,9.97,,,,,466.96,,,,440.15,,,0.92,,,
76561198035590106,14.97,0.33,,,,,0.33,,14.97,22.080000000000002,14.97,64.33,,,,,6.78,,,
76561198035597932,,,,,,,,,,,,,,,,,59.6,,,
76561198035607937,539.59,523.27,,,,,523.27,,,523.27,523.27,523.27,,,,,,,,
76561198035642590,184.03,184.03,,,,,,,184.03,,184.03,184.03,,,,,,,,
76561198035705957,99.58,,,,,,,,,,,47.05,,,,,,,,
76561198035718256,280.91999999999996,,,,,,,,,,,,,,,,,,,
76561198035762177,98.35,,,,,,,,98.35,98.35,98.35,98.35,,98.35,,,,,,
76561198035762535,19.17,,,,,,,,,,,,,,,,,,,
76561198035781832,473.5,473.5,,,473.5,,,,473.5,473.5,,,,,,,,,,
76561198035790591,306.34,295.01,,,,,,,,,,,,,,,,,,
76561198035811318,948.13,,,,,,948.13,,,948.13,948.13,,,,,,,,,
76561198035811518,51.25,,,,,,51.25,,,51.25,51.25,51.75,,,,,,,,
76561198035859601,955.8,,,,,,,,,,,,,,,,,,,
76561198035860623,1457.18,,,,,,,,,,,,,,,,,,,
76561198035926305,6.53,,,,,,,,,6.53,,,,,,,,,,
76561198035941275,,,,,1.18,,,,,1.18,,,,1.18,,,,,,
76561198035963350,45.51,30.75,,,30.75,,,,45.51,35.43,,,,,,,,,,
76561198036011305,,,,,,,,,,26.18,,26.18,,,,,,,,
76561198036037520,118.13,,,,,,,,,4.63,,,,4.63,,,,,,
76561198036064945,450.17,,,,,,,,,,,,,,,,,,,
76561198036070181,304.05,,,,,,,,,,,304.05,,,,,,,,
76561198036077253,63.6,,,,,,,,,,,,,,,,,,,
76561198036124769,89.27,33.3,,,,,33.3,,,33.3,88.05,33.3,,54.75,,,,,,
76561198036138459,,9.1,,,,,9.1,,,9.1,,,,,,,,,,
76561198036142900,473.75,,,,3.33,,,,,141.16000000000003,,43.47,19.97,141.16000000000003,,,,,,
76561198036168976,9.42,,,,,,,,,9.42,,9.42,,,,,,,,
76561198036171355,294.64,101.0,,,,,8.07,,,8.07,,193.64,,8.07,,,,,,
76561198036223338,0.45,,,,,,,,,,,,,,,,,,,
76561198036245133,44.55,,,,,,,,44.55,,,,,,,,,,,
76561198036273792,16.74,8.77,,,8.77,,,,,8.77,,8.77,,,,,,,,
76561198036297711,94.78,16.6,,,,,,,,,,103.13000000000001,,,,,,,,
76561198036311033,63.73,,,,,,63.73,,,63.73,63.73,,,,,,,,,
76561198036314995,547.8199999999999,,,,,,,,,,,547.8199999999999,,,,,,,,
76561198036349629,1154.77,,,,,,,,1142.0,6.75,,,,,,,6.75,,,
76561198036352207,,,,,,,,,,,,,,15.38,,,15.38,,,
76561198036511313,,,,,,,,,,250.82,,,,250.82,,,85.25,,,
76561198036513236,1370.75,,,,,,,,,,,,,,,,,,,
76561198036536018,30.53,,,,,,,,,,,30.53,,,,,,,,
76561198036537566,223.17,78.35,,,78.35,,,,,223.17,,78.35,144.82,,,144.82,,,,
76561198036542582,,,,,,,,,,,,,,,,,38.03,,,
76561198036566125,166.4,,,,,,,,,,,166.4,,,,,,,,
76561198036617399,19.47,19.47,,,,,,,,,,,,,,,,,,
76561198036618113,284.92,228.55,,,,,,,,,,,,,,,,,,
76561198036618521,17.12,,,,,,,,11.8,11.8,,,,,,,,,,
76561198036645438,,,,,,,,,,,,30.6,,,,,,,,
76561198036657265,51.78,,,,,,,,,,,51.78,,,,,,,,
76561198036687918,,,,,,,,,,,,205.52,,,,,,,,
76561198036740385,,2.98,,,2.98,,,,,2.98,,,,,,,,,,
76561198036772520,396.13,,,,,,,,,,,,,,,,,,,
76561198036780547,17.5,,,,,,,,,,,,,,,,,,,
76561198036784635,130.02,,,,,,130.02,,,130.02,130.02,,,,,,,,,
76561198036786556,3.55,,,,,,,,,,,,,,,,,,,
76561198036810976,204.63,17.08,,,17.08,,11.83,,,28.909999999999997,,17.08,,,,,,,,
76561198036848944,1131.8899999999999,40.35,,,,,,,1070.17,1070.17,1070.17,,,,,,,,,
76561198036861500,29.08,,,,,,,,,,,,,,,,,,,
76561198036881631,2.1,2.1,,,2.1,,,,2.1,2.1,,,,,,,61.35,,,
76561198036921706,569.02,2.17,,,,,,,,17.4,,,,,,,17.4,,,
76561198036925039,969.52,,,,,,,,,,,,,,,,,,,
76561198036933069,333.84999999999997,327.7,,,,,,,6.15,327.7,327.7,327.7,,,,,19.6,,,
76561198036934637,128.18,,,,,,,,,,,,,,,,,,,
76561198036998600,,,,,,,,,,,,,,,,,72.67,,,
76561198037009387,,3.8,,,,,,,,3.8,,,,,,,,,,
76561198037042375,28.38,,,,,,,,,28.38,,,,,,,,,,
76561198037048343,,3.08,,,,,,,,3.08,,,,,,,,,,
76561198037086921,104.15,112.7,,,,,104.15,,,109.77000000000001,104.15,104.15,,5.62,,,5.62,,,
76561198037127684,563.28,,,,,,,,,,,563.28,,,,,,,,
76561198037228389,99.51,17.72,,,17.72,,0.58,,0.58,,,,,17.72,,,,,,
76561198037256926,23.62,,,,,,,,23.62,,23.62,,,,,,,,,
76561198037293725,97.1,,,,,,,,,,,,,,,,,,,
76561198037342853,1286.05,,,,,,,,,,,,,,,,,,,
76561198037396227,41.38,,,,,,,,,,,,,,,,,,,
76561198037509696,24.38,,,,,,,,,,,,,,,,,,,
76561198037519056,182.85,,,,,,182.85,,,182.85,182.85,,,,,,,,,
76561198037529631,17.65,,,,,,,,,,,,,,,,,,,
76561198037540189,74.47,,,,,,74.47,,,74.47,74.47,,,,,,,,,
76561198037541199,1.8,215.57,,,2.47,,31.8,,,262.90000000000003,,231.1,83.67,31.8,,,241.6,,,
76561198037614124,,,,,,,,,,,,,,117.57,,,117.57,,,
76561198037696460,97.97,,,,,,,,86.4,32.25,86.4,155.18,15.47,,,15.47,30.17,,,
76561198037711823,,,,,,,,,,,,,,,,,8.77,,,
76561198037738584,2343.03,,,,,,,,,,,,,,,,107.55,,,
76561198037809757,,0.63,,,,,,,,0.63,,,,,,,,,,
76561198037834066,48.85,48.85,,,,,,,,48.85,,,,,,,,,,
76561198037839582,21.4,,,,,,,,21.4,,,,,,,,,,,
76561198037888300,,,,,,,,,,5.12,,,,,,,,,,
76561198037933737,11.96,,,,,,3.3,,11.68,11.96,,,0.85,,,0.85,3.3,,,
76561198037968477,53.62,,,,,,,,,,,53.62,,,,,,,,
76561198037980630,408.30999999999995,,,,,,,,7.23,0.28,6.95,,,401.08,,,401.35999999999996,,,
76561198038038186,335.98,,,,,,,,335.98,,,,,,,,,,,
76561198038046989,,,,,,,,,15.47,,15.47,15.47,,,,,,,,
76561198038048137,637.98,,,,,,,,,,,,,,,,,,,
76561198038055981,33.44,33.44,,,,,,,,14.07,,33.44,,,,,,,,
76561198038148907,134.81,43.33,,,284.32,,,,,7.3,,60.05,,322.05,,,30.43,,,
76561198038210954,2.87,,,,,,,,,2.87,,,,,,,,,,
76561198038227615,17.6,,,,,,,,,,,,,,,,,,,
76561198038228033,140.85,,,,,,,,,,,140.85,,,,,,,,
76561198038258914,,,,,,,,,,,,,,,,,11.3,,,
76561198038259170,,,,,,,,,,52.03,,52.03,,,,,52.03,,,
76561198038286284,10.32,,,,,,,,10.32,10.32,,,,,,,,,,
76561198038296985,,1.22,,,1.22,,,,,1.22,,,,,,,,,,
76561198038335264,120.18,25.43,,,,,,,,27.73,,80.96,,27.73,,,,,,
76561198038335577,146.77,196.0,,,,,,,,146.77,,146.77,,,,,,,,
76561198038398765,23.400000000000002,18.42,,,11.38,,,,16.69,12.510000000000002,11.3,18.42,,,,,7.12,,,
76561198038432994,12.53,,,,,,,,,12.53,,,,,,,,,,
76561198038486363,225.68,255.33,,,,,29.65,,,29.65,,25.33,,,,,,,,
76561198038526499,,,,,,,,,,17.87,,17.87,,,,,17.87,,,
76561198038567931,35.52,,,,,,24.73,,2.7199999999999998,35.52,25.75,,,0.92,,,0.92,,,
76561198038572397,49.12,49.12,,,49.12,,,,49.12,,49.12,49.12,,,,,,,,
76561198038577311,405.17,,,,,,,,405.17,405.17,,,,,,,405.17,,,
76561198038604546,24.1,24.1,,,24.1,,,,27.68,27.68,,,,3.58,,,,,,
76561198038612836,,,,,,,,,,,,124.15,,,,,,,,
76561198038659583,250.67,250.67,,,,,,,,250.67,250.67,250.67,,,,,118.08,,,
76561198038692032,,,,,,,,,,,,,,,,,204.77,,,
76561198038715881,543.05,,,,,,,,,,,,,,,,,,,
76561198038741062,232.05,250.22000000000003,,,,,,,,18.17,2186.52,2558.63,,57.690000000000005,,,39.52,,,
76561198038743710,224.0,224.0,,,,,224.0,,,224.0,224.0,224.0,,,,,,,,
76561198038758914,1.28,,,,1.28,,,,,1.28,,,,,,1.28,1.28,,,
76561198038799075,16.38,,,,,,,,,16.38,,,,,,,16.38,,,
76561198038837191,,76.05,,,,,,,,,,,76.05,76.05,,,,,,
76561198038838463,389.35,,,,,,,,389.35,389.35,389.35,,,,,,,,,
76561198038840599,378.4,1.18,,,,,,,17.67,141.70000000000002,17.67,251.92000000000002,,,,,140.52,,,
76561198038869036,22.1,11.05,,,,,,,,22.1,,11.05,,,,,,,,
76561198038904573,448.67,,,,,,,,448.67,,,,,,,,,,,
76561198038935216,84.22999999999999,45.55,,,,,,,5.58,5.58,,84.22999999999999,,,,,,,,
76561198038951129,22.07,,,,,,,,,22.07,22.07,22.07,,22.07,,,,,,
76561198039024962,,,,,,,,,31.9,,31.9,31.9,,,,,,,,
76561198039106272,112.73,,,,,,,,,,,,,,,,,,,
76561198039191658,23.32,23.32,,,,,,,,,,,,,,,,,,
76561198039192872,,,,,,,,,464.48,,464.48,,,,,,464.48,,,
76561198039197193,25.45,,,,,,,,25.45,25.45,,,,,,,,,,
76561198039199593,29.18,,,,,,,,29.18,29.18,29.18,29.18,,72.00999999999999,,,,,,
76561198039283395,0.58,,,,,,0.58,,,0.58,0.58,,,,,,,,,
76561198039328471,16.419999999999998,1.47,,,,,1.47,,,1.47,,1.47,,,,,,,,
76561198039330239,277.71000000000004,157.28,,,,,,,,,,,,,,,,,,
76561198039393712,533.92,9.17,,,,,,,,,,,,,,,,,,
76561198039395862,,,,,,,,,,15.43,,,,,,,15.43,,,
76561198039397758,188.89,117.02,,,,,,,,188.89,,173.84,,,,,,,,
76561198039434070,28.33,28.33,,,,,28.33,,,28.33,28.33,28.33,,,,,,,,
76561198039441595,47.879999999999995,48.11,,,9.120000000000001,,,,0.9,35.63,,,,12.92,,,8.22,,,
76561198039479583,,6.48,,,,,,,,6.48,,,,,,,,,,
76561198039482819,,6.95,,,,,,,,6.95,,6.95,,,,,,,,
76561198039483841,43.65,,,,,,,,43.65,,,,,,,,,,,
76561198039506014,28.450000000000003,28.450000000000003,,,,,,,,,,,,,,,,,,
76561198039514270,32.21,,,,,,,,,,,128.65,,,,,,,,
76561198039526217,492.72,,,,,,,,,,,,,,,,,,,
76561198039554307,,94.28,,,94.28,,,,94.28,94.28,,94.28,,94.28,,,94.28,,,
76561198039577653,19.4,19.4,,,,,,,,19.4,,17.0,,,,,,,,
76561198039606680,57.47,,,,,,,,,,,57.47,,,,,,,,
76561198039665073,18.89,6.32,,,6.32,,,,,18.89,,,,,,,,,,
76561198039684922,1.32,,,,,,,,1.32,1.32,1.32,,,,,,,,,
76561198039700455,17.5,,,,,,,,,,,,,,,,,,,
76561198039741219,,,,,,,,,,,,,,,,,132.03,,,
76561198039748303,,,,,,,,,,,,,,0.68,,,0.68,,,
76561198039780217,24.73,24.73,,,,,,,,,,,,,,,,,,
76561198039781567,,,,,,,,,,,,,,16.25,,,16.25,,,
76561198039874575,84.98,,,,,,84.98,,,84.98,84.98,,,,,,,,,
76561198039881593,21.55,21.55,,,21.55,,,,,21.55,,21.55,,,,,,,,
76561198039900276,98.87,,,,,,,,,,,98.87,,,,,,,,
76561198039902992,15.12,,,,,,,,15.12,15.12,,,,,,,,,,
76561198039917761,86.8,24.82,,,,,61.98,,,61.98,61.98,,,,,,,,,
76561198039957089,,20.58,,,,,,,,,,,,,,,,,,
76561198039957481,,,,,,,,,,,,,,,,,13.15,,,
76561198040016388,2953.18,,,,,,,,2953.18,,2953.18,2953.18,,,,,2953.18,,,
76561198040104199,64.75,3.82,,,,,,,18.25,58.37,18.25,50.32,,54.55,,,54.55,,,
76561198040148259,9.02,,,,,,9.02,,,9.02,,,9.02,9.02,,9.02,,,,
76561198040149411,3.6,3.6,,,,,,,,3.6,,,,,,,,,,
76561198040152832,,,,,,,,,,57.88,,57.88,,,,,57.88,,,
76561198040157257,28.92,,,,,,28.92,,,28.92,28.92,,,,,,,,,
76561198040177402,164.27,164.27,,,,,,,,,,,,,,,,,,
76561198040183690,38.85,32.230000000000004,,,6.75,,5.12,,,45.6,18.53,30.310000000000002,,20.45,,,,,,
76561198040188061,104.7,12.08,,,,,,,,12.08,,,,,,,,,,
76561198040197777,11.2,11.2,,,11.2,,,,,11.2,,,,,,,,,,
76561198040257934,2245.44,33.74,,,,,,,,,,,,,,,,,,
76561198040258534,,,,,,,,,,,,,,,,,60.4,,,
76561198040264010rr,2.12,,,,,,,,,2.12,,,,,,,2.12,,,
76561198040277893,2.95,2.95,,,,,2.95,,,2.95,2.95,2.95,,,,,,,,
76561198040278439,77.38,,,,,,,,,,,,,,,,,,,
76561198040305315,,6.95,,,,,,,,10.6,,10.6,,,,,,,,
76561198040311085,1.78,,,,,,,,,1.78,,,,,,,,,,
76561198040335971,42.9,,,,,,,,,,,,,,,,,,,
76561198040340682,21.1,,,,20.3,,,,,41.400000000000006,,,,20.3,,,20.3,,,
76561198040345799,336.78,,,,,,,,,,,,,,,,,,,
76561198040385787,,4.43,,,,,,,,4.43,,,,,,,,,,
76561198040469947,5.7,5.7,,,,,,,,5.7,,5.7,,,,,,,,
76561198040511651,115.53,,,,,,,,,,,,,,,,,,,
76561198040530605,381.14,12.18,,,,,,,278.53,12.18,278.53,12.18,,,,,,,,
76561198040572871,44.25,21.85,,,,,,,18.02,18.02,,21.85,,,,,,,,
76561198040596416,94.13,,,,,,,,,23.35,,,,23.35,,,,,,
76561198040611679,0.25,0.25,,,0.25,,,,0.25,0.25,,,,,,,,,,
76561198040615827,,,,,,,,,,0.37,,,,,,,,,,
76561198040641988,202.0,,,,,,,,,,,,,202.0,,,202.0,,,
76561198040642262,,,,,,,,,8.55,,8.55,8.55,,,,,,,,
76561198040692737,110.8,,,,,,,,,,,,,,,,,,,
76561198040695833,,,,,36.35,,,,,36.35,,,,36.35,,,36.35,,,
76561198040697106,307.53,2.68,,,2.68,,,,2.68,2.68,,,,,,,,,,
76561198040704557,300.67,,,,,,,,,,,,,,,,,,,
76561198040726300,54.7,,,,,,,,,,,,,,,,,,,
76561198040747260,3.35,3.35,,,,,,,3.35,,3.35,3.35,,,,,,,,
76561198040774797,187.68,,,,,,,,27.27,27.27,,,,1098.75,,,27.27,,,
76561198040786220,17.27,3.38,,,10.35,,,,,27.619999999999997,,,3.38,13.73,,,723.49,,,
76561198040788643,,8.1,,,,,,,,8.1,,,,,,,,,,
76561198040794037,20.43,20.43,,,,,,,,,,,,,,,,,,
76561198040834299,3.38,3.38,,,,,,,,3.38,,,,,,,,,,
76561198040838342,23.95,,,,,,,,,,,,,,,,,,,
76561198040844353,,0.32,,,0.32,,0.32,,,,,,,,,,,,,
76561198040866260,37.68,31.25,,,,,,,,,,0.73,,,,,,,,
76561198040872056,524.03,524.03,,,524.03,,,,524.03,524.03,,,,,,,,,,
76561198040881217,189.15,,,,,,,,8.18,8.18,,,,,,,,,,
76561198040889595,82.68,,,,,,,,,,,82.68,,,,,,,,
76561198040890825,,,,,,,,,,1632.37,,,,1680.84,,,48.47,,,
76561198040899282,389.21000000000004,93.72999999999999,,,,,85.88,,7.85,93.72999999999999,93.72999999999999,93.72999999999999,,295.48,,,322.73,,,
76561198040900746,32.7,,,,,,,,,,,,,,,,,,,
76561198040914212,18.75,2.32,,,,,,,,27.4,,12.08,,,,,6.33,,,
76561198040918962,,,,,,,,,,50.07,,,,50.07,,,50.07,,,
76561198040946765,168.8,,,,,,,,,168.8,,,,,,,157.82999999999998,,,
76561198040951559,55.67,,,,,,,,,,,,,,,,,,,
76561198040968420,501.78,,,,,,,,,,,,,,,,,,,
76561198040974056,3.87,3.87,,,,,,,,298.43,,,,298.43,,,,,,
76561198040991099,108.25,11.05,,,11.05,,108.25,,11.05,119.3,108.25,11.05,,,,,,,,
76561198040994679,148.87,,,,,,148.87,,,148.87,148.87,,,,,,,,,
76561198041010910,344.13,,,,,,,,,,,,,,,,,,,
76561198041076487,12.07,12.07,,,,,,,,,,,,,,,,,,
76561198041083599,11.05,11.05,,,,,,,,,,,,,,,,,,
76561198041083847,16.17,0.27,,,,,,,16.44,16.44,,0.27,,,,,,,,
76561198041085273,,,,,,,,,,2.03,,,,2.03,,,,,,
76561198041122979,49.55,29.970000000000002,,,65.17,,,,,83.59,,18.42,,53.62,,,53.62,,,
76561198041125681,63.87,63.87,,,,,63.87,,,63.87,63.87,63.87,,,,,,,,
76561198041127602,10.08,10.08,,,,,,,,,,,,,,,,,,
76561198041134831,410.88,,,,,,,,,,,,,,,,,,,
76561198041151638,69.07,69.07,,,,,,,,,,,,,,,,,,
76561198041156726,48.47,48.47,,,,,,,,48.47,,48.47,,,,,,,,
76561198041168713,190.53,,,,,,,,,,,,,,,,,,,
76561198041193774,,,,,,,,,,,,12.73,,,,,12.73,,,
76561198041199233,828.43,102.53999999999999,,,,,112.8,,,150.7,122.8,68.22999999999999,27.9,10.0,,27.9,,,,
76561198041217847,230.75,23.95,,,,,,,,23.95,,222.95,,,,,,,,
76561198041236811,43.13,,,,,,,,43.13,,43.13,,,,,,,,,
76561198041240181,16.36,1.98,,,14.38,,,,,14.38,,,,,,,,,,
76561198041244743,0.42,0.42,,,0.42,,0.42,,0.42,0.42,0.42,0.42,,,,,,,,
76561198041282985,25.63,,,,,,,,,,,,,,,,,,,
76561198041283043,4.27,12.74,,,,,,,,12.74,,,18.35,,,18.35,,,,
76561198041284313,27.87,27.87,,,,,,,,792.37,,27.87,,764.5,,,,,,
76561198041350926,5.07,,,,,,,,,,,,,,,,,,,
76561198041352302,76.12,26.72,,,,,,,,,,,,49.4,,,,,,
76561198041472663,2.07,2.07,,,,,,,,2.07,,,,,,,,,,
76561198041480235,,,,,2.65,,,,,2.65,,,,,,,,,,
76561198041547166,6.78,6.78,,,,,,,6.78,1334.98,,,,1328.2,,,,,,
76561198041551333,930.42,,,,,,,,,,,,,,,,,,,
76561198041562431,12.88,12.88,,,,,,,,,,,,,,,,,,
76561198041589240,150.15,,,,,,,,1.63,1.63,1.63,1.63,,1.63,,,,,,
76561198041624506,14.82,29.09,,,,,,,,,,,,,,,,,,
